refLocal;idVehiculo
1955149;-1659479719
1955159;-1787116548
1955166;-1577662071
1955167;-1597604985
1955172;-1059029957
1955178;-1376766551
1955186;-1928512257
1955187;-1779535710
1955191;-1164731271
1955202;-1750756956
1955204;-1384381296
1955208;-1317638606
1955209;-1241645994
1955220;-1646059594
1955224;-1322326130
1955237;-1928164489
1955241;-1277025757
1955243;-1979873001
1955244;-1669487756
1955245;-1387738751
1955246;-1144446267
1955254;-1601776875
1955263;-1066242488
1955264;-1248080525
1955267;-1422031532
1955284;-1150429653
1955295;-1042505844
1955318;-1183472677
1955319;-1140405856
1955331;-1590874980
1955332;-1185646212
1955333;-1116860449
1955334;-1314260547
1955335;-1952893647
1955336;-1768299395
1955337;-1639929345
1955338;-1748871031
1955339;-1217988088
1955340;-1786535882
1955343;-1911345746
1955344;-1902745399
1955345;-1606390724
1955346;-1113673696
1955347;-1117273216
853317;-1057593845
1932335;57406
1932336;57406
224906;49625
731552;51237
1949806;57474
1258354;54545
1360962;55099
1326875;54563
455104;51017
804090;52214
1085138;53550
1270984;-1401998030
1378919;54906
1340029;54647
1305428;52860
156700;49847
1270055;-1921504102
1284878;54683
761142;52150
1221590;52978
1072716;53472
1291111;54690
1302326;-1545618134
1270514;-1193554517
1276790;54641
1289774;54696
1307538;54553
1309334;-1976735599
1235963;54473
1330891;54883
1339946;53293
1384311;-1154707110
1405378;55111
1305058;52860
1349550;54780
1468999;54575
1404741;55270
1285147;54683
1290649;54690
1302175;54742
1287099;53483
1371722;55130
1349549;54780
1384319;55095
806812;52324
1012253;-1085900383
1351624;53483
1125235;-1388552154
1285185;54685
1306212;54444
1388180;55095
1527498;55583
1638918;55871
1637395;56068
1667159;56070
1638414;52389
1638415;52389
1197060;54306
1641175;56109
1677683;56243
1845727;57015
1882442;57188
1882516;57188
1882782;57188
1882861;57188
1882862;57188
1882873;57188
1887985;57206
1853040;57062
1935344;57365
1941900;-1085915018
1941909;56395
1267922;54311
1504285;55570
1335479;54949
1652380;56138
1628406;56031
1717246;56410
1783206;56744
1924082;57359
494418;51170
1741753;-1834701446
1566252;55729
1332311;54191
1352983;54202
1914915;57312
1692595;56315
1605112;-1072395011
1915668;57331
1860161;57098
1717334;56410
1935354;57365
1956393;57511
1892729;56700
1932320;57406
1590299;55736
1955784;57533
1784516;56750
1753744;56571
1795037;56787
1811918;56859
1812004;56859
1812015;56859
1812101;56859
1812123;56859
1749141;56542
1749142;56542
1749143;56542
1750027;56543
1353619;55069
1353702;55069
1851324;57055
1851341;57055
1851621;57055
1851626;57055
1851321;57055
1851326;57055
1799688;56797
1447252;54480
1933572;57410
1851331;57055
1851332;57055
1851342;57055
1851371;57055
1851558;57055
1851559;57055
1851584;57055
1851627;57055
1851649;57055
1754007;56573
1811961;56859
1935254;57365
1893612;57221
1893613;57221
1833834;56674
1851563;57055
1582056;55852
1937377;57374
1767943;56632
1881419;57184
1892196;-1402577233
1936379;57418
1828974;56953
1713805;56396
1905588;57273
1889959;57210
1509179;55596
1275799;54588
1869403;57152
651636;-1195592122
1956392;57511
1700707;56342
1700781;56342
1700804;56342
1700807;56342
1700896;56342
1700901;56342
1700929;56342
1700930;56342
1957515;-1752415801
1938003;-1279151182
1847011;56816
1684030;56278
1957531;-1597706546
1812744;56864
1855233;57075
1913559;57302
1935015;57372
1801744;56805
1886882;57204
1845501;57014
1838603;-1409329497
1838606;-1413917042
1838610;-1158319747
1838611;-1055627168
1838616;-1527154835
1838618;-1923130144
1838619;-1937344003
1838620;-1787788126
1838621;-1284783624
1838622;-1383209280
1838623;-1721307274
1838625;-1308152625
1838627;-1594996817
1838628;-1063983808
1838630;-1013775171
1838631;-1443969552
1838632;-1250702175
1838633;-1265526977
1838634;-1363720184
1838635;-1726386132
1838636;-1402280384
1838637;-1909372500
1838644;-1771851184
1838645;-1043375869
1838646;-1664714239
1838648;-1715010150
1838649;-1358945724
1838651;-1832046692
1838652;-1847740598
1838653;-1229360912
1838656;-1831514971
1838657;-1204459092
1838604;-1446353608
1838605;-1419016832
1838658;-1260608594
1838659;-1976934739
1838660;-1104429409
1838661;-1795956170
1838662;-1793962779
1838663;-1164949772
1838667;-1396654602
1838669;-1173989240
1838670;-1666445462
1838672;-1014326731
1838673;-1841208315
1838674;-1749313955
1838675;-1303229092
1838676;-1997394142
1838677;-1875101873
1838678;-1889593238
1838679;-1559110369
1838680;-1075817078
1838681;-1048874066
1838682;-1980000890
1838683;-1370425360
1838684;-1019284465
1838685;-1958326518
1838686;-1751037279
1838687;-1153492525
1838688;-1303604446
1838689;-1785943571
1838690;-1529883302
1838691;-1609309642
1838692;-1191105177
1838693;-1419220229
1838694;-1830569333
